crr_ran,total_Score_range,total,dot,sing,doub,triple,four,six,wicket,dot_prob,sing_prob,doub_prob,trip_prob,four_prob,six_prob,wkt_prob
8 to 8.5,30 to 40,181,43,45,20,4,40,17,12,0.23756906077348067,0.24861878453038674,0.11049723756906077,0.022099447513812154,0.22099447513812154,0.09392265193370165,0.06629834254143646
7 to 7.5,20 to 30,183,50,42,18,2,37,21,13,0.273224043715847,0.22950819672131148,0.09836065573770492,0.01092896174863388,0.20218579234972678,0.11475409836065574,0.07103825136612021
8.5 to 9,40 to 50,183,54,48,13,2,40,16,10,0.29508196721311475,0.26229508196721313,0.07103825136612021,0.01092896174863388,0.2185792349726776,0.08743169398907104,0.0546448087431694
9 to 9.5,70 to 80,187,48,71,23,0,25,16,4,0.25668449197860965,0.37967914438502676,0.12299465240641712,0.0,0.13368983957219252,0.0855614973262032,0.0213903743315508
9.5 to 10,150 to 160,187,33,74,12,0,28,25,15,0.17647058823529413,0.39572192513368987,0.06417112299465241,0.0,0.1497326203208556,0.13368983957219252,0.08021390374331551
9 to 9.5,50 to 60,189,50,60,13,0,39,15,12,0.26455026455026454,0.31746031746031744,0.06878306878306878,0.0,0.20634920634920634,0.07936507936507936,0.06349206349206349
10 to 11,170 to 180,192,26,68,21,1,28,30,18,0.13541666666666666,0.3541666666666667,0.109375,0.005208333333333333,0.14583333333333334,0.15625,0.09375
9 to 9.5,60 to 70,199,51,77,19,1,29,8,14,0.2562814070351759,0.3869346733668342,0.09547738693467336,0.005025125628140704,0.1457286432160804,0.04020100502512563,0.07035175879396985
9 to 9.5,80 to 90,199,53,77,15,0,29,19,6,0.2663316582914573,0.3869346733668342,0.07537688442211055,0.0,0.1457286432160804,0.09547738693467336,0.03015075376884422
9.5 to 10,170 to 180,214,29,84,26,0,33,25,17,0.13551401869158877,0.3925233644859813,0.12149532710280374,0.0,0.1542056074766355,0.11682242990654206,0.0794392523364486
10 to 11,180 to 190,215,30,81,20,4,34,25,21,0.13953488372093023,0.3767441860465116,0.09302325581395349,0.018604651162790697,0.15813953488372093,0.11627906976744186,0.09767441860465116
8.5 to 9,50 to 60,215,65,68,22,4,34,11,11,0.3023255813953488,0.31627906976744186,0.10232558139534884,0.018604651162790697,0.15813953488372093,0.05116279069767442,0.05116279069767442
9 to 9.5,90 to 100,216,45,89,23,0,29,23,7,0.20833333333333334,0.41203703703703703,0.10648148148148148,0.0,0.13425925925925927,0.10648148148148148,0.032407407407407406
7.5 to 8,30 to 40,217,56,51,24,1,53,18,14,0.25806451612903225,0.2350230414746544,0.11059907834101383,0.004608294930875576,0.24423963133640553,0.08294930875576037,0.06451612903225806
9 to 9.5,100 to 110,221,46,90,26,1,29,15,14,0.2081447963800905,0.4072398190045249,0.11764705882352941,0.004524886877828055,0.13122171945701358,0.06787330316742081,0.06334841628959276
9.5 to 10,160 to 170,227,35,92,23,2,34,24,17,0.15418502202643172,0.4052863436123348,0.1013215859030837,0.00881057268722467,0.14977973568281938,0.10572687224669604,0.07488986784140969
0 to 5,70 to 80,228,88,96,10,1,9,4,20,0.38596491228070173,0.42105263157894735,0.043859649122807015,0.0043859649122807015,0.039473684210526314,0.017543859649122806,0.08771929824561403
8.5 to 9,60 to 70,239,59,90,21,4,34,17,14,0.24686192468619247,0.37656903765690375,0.08786610878661087,0.016736401673640166,0.14225941422594143,0.07112970711297072,0.058577405857740586
9 to 9.5,110 to 120,241,51,101,22,2,38,16,11,0.21161825726141079,0.4190871369294606,0.0912863070539419,0.008298755186721992,0.15767634854771784,0.06639004149377593,0.04564315352697095
10 to 11,190 to 200,243,32,83,25,1,43,35,24,0.13168724279835392,0.34156378600823045,0.102880658436214,0.00411522633744856,0.17695473251028807,0.1440329218106996,0.09876543209876543
8 to 8.5,40 to 50,247,70,59,25,4,48,22,19,0.2834008097165992,0.2388663967611336,0.10121457489878542,0.016194331983805668,0.19433198380566802,0.08906882591093117,0.07692307692307693
7 to 7.5,30 to 40,251,77,68,26,2,47,17,14,0.30677290836653387,0.27091633466135456,0.10358565737051793,0.00796812749003984,0.18725099601593626,0.06772908366533864,0.055776892430278883
9 to 9.5,120 to 130,251,52,98,23,1,37,28,12,0.20717131474103587,0.3904382470119522,0.09163346613545817,0.00398406374501992,0.14741035856573706,0.11155378486055777,0.04780876494023904
9 to 9.5,140 to 150,251,49,109,21,0,23,29,20,0.1952191235059761,0.4342629482071713,0.08366533864541832,0.0,0.09163346613545817,0.11553784860557768,0.0796812749003984
9.5 to 10,180 to 190,252,34,98,32,4,37,26,21,0.1349206349206349,0.3888888888888889,0.12698412698412698,0.015873015873015872,0.14682539682539683,0.10317460317460317,0.08333333333333333
9 to 9.5,150 to 160,257,37,103,28,1,40,30,18,0.14396887159533073,0.40077821011673154,0.10894941634241245,0.0038910505836575876,0.1556420233463035,0.11673151750972763,0.07003891050583658
8 to 8.5,50 to 60,267,80,89,30,1,39,12,16,0.299625468164794,0.3333333333333333,0.11235955056179775,0.003745318352059925,0.14606741573033707,0.0449438202247191,0.0599250936329588
9 to 9.5,180 to 190,271,21,89,39,3,43,39,37,0.07749077490774908,0.3284132841328413,0.14391143911439114,0.01107011070110701,0.15867158671586715,0.14391143911439114,0.13653136531365315
9 to 9.5,160 to 170,272,38,103,23,1,47,36,24,0.13970588235294118,0.3786764705882353,0.08455882352941177,0.003676470588235294,0.17279411764705882,0.1323529411764706,0.08823529411764706
7.5 to 8,40 to 50,277,90,74,16,2,52,22,21,0.3249097472924188,0.26714801444043323,0.05776173285198556,0.007220216606498195,0.18772563176895307,0.07942238267148015,0.07581227436823104
9 to 9.5,130 to 140,277,49,112,35,1,38,25,17,0.17689530685920576,0.4043321299638989,0.1263537906137184,0.0036101083032490976,0.1371841155234657,0.09025270758122744,0.061371841155234655
8.5 to 9,70 to 80,278,75,100,24,0,38,22,19,0.2697841726618705,0.3597122302158273,0.08633093525179857,0.0,0.1366906474820144,0.07913669064748201,0.0683453237410072
8 to 8.5,60 to 70,293,83,97,18,0,53,21,21,0.2832764505119454,0.3310580204778157,0.06143344709897611,0.0,0.18088737201365188,0.07167235494880546,0.07167235494880546
8.5 to 9,100 to 110,299,64,114,34,2,41,26,18,0.2140468227424749,0.38127090301003347,0.11371237458193979,0.006688963210702341,0.13712374581939799,0.08695652173913043,0.06020066889632107
6 to 7,10 to 20,300,80,67,32,6,64,20,31,0.26666666666666666,0.22333333333333333,0.10666666666666667,0.02,0.21333333333333335,0.06666666666666667,0.10333333333333333
8.5 to 9,90 to 100,303,77,109,33,0,43,24,17,0.25412541254125415,0.35973597359735976,0.10891089108910891,0.0,0.1419141914191419,0.07920792079207921,0.056105610561056105
7 to 7.5,40 to 50,307,91,95,33,1,47,17,23,0.2964169381107492,0.30944625407166126,0.10749185667752444,0.003257328990228013,0.15309446254071662,0.05537459283387622,0.0749185667752443
8.5 to 9,110 to 120,310,69,128,29,1,43,29,11,0.22258064516129034,0.4129032258064516,0.0935483870967742,0.0032258064516129032,0.13870967741935483,0.0935483870967742,0.035483870967741936
0 to 5,60 to 70,312,118,139,18,1,16,3,17,0.3782051282051282,0.44551282051282054,0.057692307692307696,0.003205128205128205,0.05128205128205128,0.009615384615384616,0.05448717948717949
8.5 to 9,120 to 130,312,62,120,37,1,36,35,21,0.1987179487179487,0.38461538461538464,0.11858974358974358,0.003205128205128205,0.11538461538461539,0.11217948717948718,0.0673076923076923
8.5 to 9,80 to 90,312,76,115,38,1,50,21,11,0.24358974358974358,0.3685897435897436,0.12179487179487179,0.003205128205128205,0.16025641025641027,0.0673076923076923,0.035256410256410256
7.5 to 8,50 to 60,314,86,101,38,1,43,18,27,0.27388535031847133,0.321656050955414,0.12101910828025478,0.0031847133757961785,0.13694267515923567,0.05732484076433121,0.08598726114649681
5 to 6,10 to 20,328,87,83,40,7,60,15,36,0.2652439024390244,0.2530487804878049,0.12195121951219512,0.021341463414634148,0.18292682926829268,0.04573170731707317,0.10975609756097561
7 to 7.5,50 to 60,336,103,120,31,1,50,18,13,0.30654761904761907,0.35714285714285715,0.09226190476190477,0.002976190476190476,0.1488095238095238,0.05357142857142857,0.03869047619047619
8.5 to 9,170 to 180,341,36,97,44,5,63,49,47,0.10557184750733138,0.2844574780058651,0.12903225806451613,0.01466275659824047,0.18475073313782991,0.1436950146627566,0.1378299120234604
8 to 8.5,70 to 80,346,89,128,38,2,49,21,19,0.25722543352601157,0.3699421965317919,0.10982658959537572,0.005780346820809248,0.1416184971098266,0.06069364161849711,0.05491329479768786
5 to 6,100 to 110,352,81,154,31,1,33,16,36,0.23011363636363635,0.4375,0.08806818181818182,0.002840909090909091,0.09375,0.045454545454545456,0.10227272727272728
8 to 8.5,80 to 90,362,101,137,33,3,47,24,17,0.27900552486187846,0.3784530386740331,0.09116022099447514,0.008287292817679558,0.1298342541436464,0.06629834254143646,0.04696132596685083
6 to 7,130 to 140,364,64,125,61,2,47,17,48,0.17582417582417584,0.3434065934065934,0.16758241758241757,0.005494505494505495,0.12912087912087913,0.046703296703296704,0.13186813186813187
7 to 7.5,140 to 150,369,54,134,46,4,45,37,49,0.14634146341463414,0.36314363143631434,0.12466124661246612,0.01084010840108401,0.12195121951219512,0.1002710027100271,0.13279132791327913
7.5 to 8,60 to 70,369,99,137,30,2,56,22,23,0.2682926829268293,0.3712737127371274,0.08130081300813008,0.005420054200542005,0.15176151761517614,0.05962059620596206,0.06233062330623306
8.5 to 9,130 to 140,377,77,155,33,4,56,30,22,0.20424403183023873,0.41114058355437666,0.08753315649867374,0.010610079575596816,0.14854111405835543,0.07957559681697612,0.058355437665782495
9 to 9.5,170 to 180,391,53,132,51,3,66,49,37,0.13554987212276215,0.3375959079283887,0.13043478260869565,0.0076726342710997444,0.16879795396419436,0.12531969309462915,0.09462915601023018
0 to 5,50 to 60,400,155,175,20,3,27,4,16,0.3875,0.4375,0.05,0.0075,0.0675,0.01,0.04
7.5 to 8,70 to 80,404,114,156,39,2,54,19,20,0.28217821782178215,0.38613861386138615,0.09653465346534654,0.0049504950495049506,0.13366336633663367,0.04702970297029703,0.04950495049504951
8 to 8.5,90 to 100,408,106,146,44,1,49,36,26,0.25980392156862747,0.35784313725490197,0.10784313725490197,0.0024509803921568627,0.12009803921568628,0.08823529411764706,0.06372549019607843
8 to 8.5,100 to 110,410,105,164,31,0,54,27,29,0.25609756097560976,0.4,0.07560975609756097,0.0,0.13170731707317074,0.06585365853658537,0.07073170731707316
8.5 to 9,140 to 150,415,64,168,46,2,61,48,26,0.15421686746987953,0.40481927710843374,0.1108433734939759,0.004819277108433735,0.14698795180722893,0.11566265060240964,0.06265060240963856
7 to 7.5,60 to 70,432,121,152,60,1,52,16,30,0.2800925925925926,0.35185185185185186,0.1388888888888889,0.0023148148148148147,0.12037037037037036,0.037037037037037035,0.06944444444444445
7.5 to 8,150 to 160,438,54,153,56,2,55,50,68,0.1232876712328767,0.3493150684931507,0.1278538812785388,0.0045662100456621,0.12557077625570776,0.1141552511415525,0.1552511415525114
7.5 to 8,80 to 90,439,111,171,43,0,61,31,22,0.2528473804100228,0.3895216400911162,0.0979498861047836,0.0,0.13895216400911162,0.07061503416856492,0.05011389521640091
8 to 8.5,110 to 120,441,102,158,58,1,66,27,29,0.23129251700680273,0.35827664399092973,0.13151927437641722,0.0022675736961451248,0.14965986394557823,0.061224489795918366,0.06575963718820861
8 to 8.5,160 to 170,446,54,138,62,9,67,40,76,0.1210762331838565,0.3094170403587444,0.13901345291479822,0.020179372197309416,0.15022421524663676,0.08968609865470852,0.17040358744394618
7.5 to 8,90 to 100,464,122,168,52,2,57,33,30,0.2629310344827586,0.3620689655172414,0.11206896551724138,0.004310344827586207,0.12284482758620689,0.07112068965517242,0.06465517241379311
7 to 7.5,70 to 80,469,127,159,59,5,60,26,33,0.27078891257995735,0.3390191897654584,0.1257995735607676,0.010660980810234541,0.1279317697228145,0.05543710021321962,0.07036247334754797
7.5 to 8,100 to 110,486,117,178,56,1,69,27,38,0.24074074074074073,0.3662551440329218,0.11522633744855967,0.00205761316872428,0.1419753086419753,0.05555555555555555,0.07818930041152264
6 to 7,20 to 30,487,143,120,54,3,95,27,45,0.2936344969199179,0.2464065708418891,0.11088295687885011,0.006160164271047228,0.19507186858316222,0.055441478439425054,0.09240246406570841
7 to 7.5,80 to 90,504,131,189,53,1,62,30,38,0.25992063492063494,0.375,0.10515873015873016,0.001984126984126984,0.12301587301587301,0.05952380952380952,0.07539682539682539
0 to 5,40 to 50,512,219,206,29,0,25,7,26,0.427734375,0.40234375,0.056640625,0.0,0.048828125,0.013671875,0.05078125
8 to 8.5,120 to 130,513,98,208,58,3,75,37,34,0.19103313840155944,0.40545808966861596,0.11306042884990253,0.005847953216374269,0.14619883040935672,0.07212475633528265,0.06627680311890838
5 to 6,20 to 30,518,172,150,44,3,89,16,44,0.33204633204633205,0.28957528957528955,0.08494208494208494,0.005791505791505791,0.1718146718146718,0.03088803088803089,0.08494208494208494
7.5 to 8,110 to 120,519,117,193,64,3,71,46,25,0.2254335260115607,0.371868978805395,0.1233140655105973,0.005780346820809248,0.13680154142581888,0.08863198458574181,0.04816955684007707
8.5 to 9,150 to 160,524,85,204,67,2,77,57,32,0.16221374045801526,0.3893129770992366,0.12786259541984732,0.003816793893129771,0.14694656488549618,0.10877862595419847,0.061068702290076333
8 to 8.5,130 to 140,532,112,189,68,2,63,55,43,0.21052631578947367,0.35526315789473684,0.12781954887218044,0.0037593984962406013,0.11842105263157894,0.10338345864661654,0.08082706766917293
7 to 7.5,90 to 100,533,149,200,49,0,63,36,36,0.2795497185741088,0.37523452157598497,0.09193245778611632,0.0,0.11819887429643527,0.0675422138836773,0.0675422138836773
5 to 6,30 to 40,554,205,186,41,2,78,11,31,0.3700361010830325,0.33574007220216606,0.0740072202166065,0.0036101083032490976,0.1407942238267148,0.019855595667870037,0.05595667870036101
8 to 8.5,140 to 150,564,101,207,57,3,86,56,54,0.17907801418439717,0.3670212765957447,0.10106382978723404,0.005319148936170213,0.1524822695035461,0.09929078014184398,0.09574468085106383
8.5 to 9,160 to 170,566,89,195,60,2,93,65,62,0.15724381625441697,0.34452296819787986,0.10600706713780919,0.0035335689045936395,0.16431095406360424,0.11484098939929328,0.10954063604240283
5 to 6,90 to 100,576,182,235,47,2,43,18,49,0.3159722222222222,0.4079861111111111,0.08159722222222222,0.003472222222222222,0.07465277777777778,0.03125,0.08506944444444445
7 to 7.5,120 to 130,583,111,225,61,4,79,48,55,0.19039451114922812,0.38593481989708406,0.10463121783876501,0.00686106346483705,0.13550600343053174,0.0823327615780446,0.09433962264150944
7.5 to 8,120 to 130,587,121,229,58,1,83,43,52,0.2061328790459966,0.3901192504258944,0.09880749574105621,0.0017035775127768314,0.141396933560477,0.07325383304940375,0.08858603066439523
7 to 7.5,100 to 110,589,159,215,56,1,78,39,41,0.2699490662139219,0.36502546689303905,0.09507640067911714,0.001697792869269949,0.13242784380305603,0.06621392190152801,0.06960950764006792
7 to 7.5,130 to 140,606,114,228,75,1,82,47,59,0.18811881188118812,0.37623762376237624,0.12376237623762376,0.0016501650165016502,0.1353135313531353,0.07755775577557755,0.09735973597359736
5 to 6,80 to 90,610,177,265,48,2,52,23,43,0.2901639344262295,0.4344262295081967,0.07868852459016394,0.003278688524590164,0.08524590163934426,0.03770491803278689,0.07049180327868852
7 to 7.5,110 to 120,611,151,226,64,0,81,48,41,0.24713584288052373,0.3698854337152209,0.10474631751227496,0.0,0.132569558101473,0.07855973813420622,0.06710310965630115
0 to 5,30 to 40,623,246,264,42,1,36,6,28,0.39486356340288925,0.42375601926163725,0.06741573033707865,0.0016051364365971107,0.05778491171749599,0.009630818619582664,0.0449438202247191
8 to 8.5,150 to 160,638,105,236,71,2,91,71,62,0.164576802507837,0.36990595611285265,0.11128526645768025,0.003134796238244514,0.1426332288401254,0.11128526645768025,0.09717868338557993
6 to 7,30 to 40,639,195,183,41,7,131,35,47,0.3051643192488263,0.2863849765258216,0.06416275430359937,0.010954616588419406,0.20500782472613457,0.054773082942097026,0.07355242566510173
7.5 to 8,130 to 140,643,127,221,80,4,98,51,62,0.19751166407465007,0.343701399688958,0.12441679626749612,0.006220839813374806,0.15241057542768274,0.07931570762052877,0.09642301710730948
5 to 6,70 to 80,677,227,280,50,1,57,23,39,0.3353028064992615,0.413589364844904,0.07385524372230429,0.0014771048744460858,0.08419497784342689,0.033973412112259974,0.05760709010339734
7.5 to 8,140 to 150,680,95,271,91,6,89,63,65,0.13970588235294118,0.3985294117647059,0.1338235294117647,0.008823529411764706,0.13088235294117648,0.09264705882352942,0.09558823529411764
5 to 6,40 to 50,706,257,275,66,0,52,14,42,0.3640226628895184,0.3895184135977337,0.09348441926345609,0.0,0.07365439093484419,0.019830028328611898,0.059490084985835696
6 to 7,40 to 50,711,233,255,62,5,89,25,42,0.32770745428973275,0.35864978902953587,0.08720112517580872,0.007032348804500703,0.12517580872011252,0.035161744022503515,0.05907172995780591
0 to 5,20 to 30,716,309,243,32,2,77,8,45,0.43156424581005587,0.3393854748603352,0.0446927374301676,0.002793296089385475,0.10754189944134078,0.0111731843575419,0.06284916201117319
5 to 6,60 to 70,722,244,309,62,2,59,17,29,0.3379501385041551,0.4279778393351801,0.08587257617728532,0.002770083102493075,0.0817174515235457,0.023545706371191136,0.04016620498614958
5 to 6,50 to 60,782,278,325,50,6,69,15,39,0.3554987212276215,0.4156010230179028,0.0639386189258312,0.0076726342710997444,0.08823529411764706,0.01918158567774936,0.049872122762148335
6 to 7,50 to 60,846,259,316,91,3,94,32,51,0.3061465721040189,0.3735224586288416,0.10756501182033097,0.0035460992907801418,0.1111111111111111,0.037825059101654845,0.06028368794326241
0 to 5,0 to 10,879,386,234,66,12,65,11,105,0.4391353811149033,0.26621160409556316,0.07508532423208192,0.013651877133105802,0.07394766780432309,0.012514220705346985,0.11945392491467577
6 to 7,120 to 130,889,173,347,106,2,102,50,109,0.19460067491563554,0.39032620922384703,0.11923509561304838,0.0022497187851518562,0.11473565804274466,0.0562429696287964,0.12260967379077616
0 to 5,10 to 20,900,379,262,53,11,111,21,63,0.4211111111111111,0.2911111111111111,0.058888888888888886,0.012222222222222223,0.12333333333333334,0.023333333333333334,0.07
6 to 7,60 to 70,970,286,386,104,3,101,38,52,0.2948453608247423,0.3979381443298969,0.10721649484536082,0.003092783505154639,0.10412371134020619,0.03917525773195876,0.05360824742268041
6 to 7,70 to 80,1085,318,424,104,2,127,50,60,0.29308755760368665,0.39078341013824885,0.09585253456221199,0.0018433179723502304,0.11705069124423963,0.04608294930875576,0.055299539170506916
6 to 7,110 to 120,1100,271,441,109,1,118,57,103,0.24636363636363637,0.4009090909090909,0.09909090909090909,0.0009090909090909091,0.10727272727272727,0.05181818181818182,0.09363636363636364
6 to 7,100 to 110,1162,309,435,124,3,141,56,94,0.26592082616179,0.3743545611015491,0.10671256454388985,0.0025817555938037868,0.12134251290877797,0.04819277108433735,0.08089500860585198
6 to 7,80 to 90,1185,346,466,116,8,121,47,81,0.2919831223628692,0.39324894514767933,0.09789029535864979,0.006751054852320675,0.1021097046413502,0.039662447257383965,0.06835443037974684
6 to 7,90 to 100,1185,329,478,116,6,122,59,75,0.2776371308016878,0.40337552742616034,0.09789029535864979,0.005063291139240506,0.1029535864978903,0.049789029535864976,0.06329113924050633
