Batting_order,Name,Batsman_avg,Batsman_strikerate,Bowler_economy,Bowler_average,4s,6s,ratio
1,Faf du Plessis,31.41,126.74,0,0,163,59,0.3619631902
2,Shane Watson,31.09,139.54,7.93,29.15,343,177,0.5160349854
3,Suresh Raina,33.34,137.11,7.39,44.72,493,194,0.3935091278
4,Ambati Rayudu,28.7,125.95,0,0,278,120,0.4316546763
5,MS Dhoni,42.21,137.85,0,0,297,209,0.7037037037
6,Dwayne Bravo,23.17,128.29,8.4,24.61,117,61,0.5213675214
7,Ravindra Jadeja,24.09,122.66,7.58,29.19,135,65,0.4814814815
8,Shardul Thakur,7.2,171.43,9.04,29.58,5,1,0.2
9,Harbhajan Singh,15.07,138.17,7.05,26.45,79,42,0.5316455696
10,Imran Tahir,5,74.07,7.88,20.39,3,0,0
11,Deepak Chahar,11.83,161.36,7.63,26.52,2,6,3